index,PVA,Agarose,TPC_content,Doxy_content,freeze_thaw cycle,time,release_Doxy,release_TPC
1,1,0.1,100,10,3,1,34.4615271618801,20.7357529387396
1,1,0.1,100,10,3,2,45.1352872328597,35.2721570607426
1,1,0.1,100,10,3,3,52.9770845597982,39.4727503107037
1,1,0.1,100,10,3,4,66.244396737787,43.9609451866812
1,1,0.1,100,10,3,5,71.2538341902507,46.2065257495728
1,1,0.1,100,10,3,6,71.2538341902507,49.6375446636632
2,1,0.1,150,10,3,1,33.8985119436834,23.9978934202297
2,1,0.1,150,10,3,2,42.2234319792581,30.9572825120964
2,1,0.1,150,10,3,3,48.5696097494438,35.582331062177
2,1,0.1,150,10,3,4,59.1696202330547,40.9491326816102
2,1,0.1,150,10,3,5,59.1696202330547,41.7054299287932
2,1,0.1,150,10,3,6,59.1696202330547,41.5938536146495
3,1,0.1,200,10,3,1,30.5783536920189,16.5139887456833
3,1,0.1,200,10,3,2,47.9031761515095,29.0819553187102
3,1,0.1,200,10,3,3,61.0276176812314,29.7114941161976
3,1,0.1,200,10,3,4,64.6944859483886,33.4978506518101
3,1,0.1,200,10,3,5,77.4278403361554,34.5790151083645
3,1,0.1,200,10,3,6,77.4278403361554,34.0836692951356
4,1,0.15,100,10,3,1,20.5221371095919,16.8789872507812
4,1,0.15,100,10,3,2,28.3347632807489,27.6103825764005
4,1,0.15,100,10,3,3,29.9937380924515,33.0215873126803
4,1,0.15,100,10,3,4,34.8726988809316,41.6182871918772
4,1,0.15,100,10,3,5,33.4504574322792,41.05833491
4,1,0.15,100,10,3,6,33.4504574322792,41.359850942963
5,1,0.15,150,10,3,1,22.8502715717301,18.0534661767245
5,1,0.15,150,10,3,2,29.944947679095,24.2572936447261
5,1,0.15,150,10,3,3,32.745867755651,27.0200210444976
5,1,0.15,150,10,3,4,31.9871277790677,30.9589591194193
5,1,0.15,150,10,3,5,31.9871277790677,30.7980139255386
5,1,0.15,150,10,3,6,31.9871277790677,32.0421670900228
6,1,0.15,200,10,3,1,22.3259341632917,13.4409713424636
6,1,0.15,200,10,3,2,37.3738651166398,21.2474162877222
6,1,0.15,200,10,3,3,38.2255005185597,27.9278460840923
6,1,0.15,200,10,3,4,39.2674716500978,28.3951646241449
6,1,0.15,200,10,3,5,40.9514459863216,30.0686100628092
6,1,0.15,200,10,3,6,40.9514459863216,21.0827421355132
7,1,0.2,100,10,3,1,26.5113157758834,18.3997620338696
7,1,0.2,100,10,3,2,31.4058248340543,27.1966006443483
7,1,0.2,100,10,3,3,44.3579859563037,30.035421072431
7,1,0.2,100,10,3,4,51.3690977158554,33.478805110198
7,1,0.2,100,10,3,5,51.6602164934224,33.5436049762236
7,1,0.2,100,10,3,6,51.6602164934224,35.2749723563615
8,1,0.2,150,10,3,1,30.3944451094851,14.1821527272463
8,1,0.2,150,10,3,2,33.471825037734,21.2308038476683
8,1,0.2,150,10,3,3,38.4258533334607,24.5217905702729
8,1,0.2,150,10,3,4,44.0934260879041,26.9582116798255
8,1,0.2,150,10,3,5,47.8539579834009,32.6128905236378
8,1,0.2,150,10,3,6,47.8539579834009,33.8856478196728
9,1,0.2,200,10,3,1,26.45375205,16.8148438247144
9,1,0.2,200,10,3,2,32.1886392098712,23.5712745946969
9,1,0.2,200,10,3,3,38.5869437839161,26.9211748281697
9,1,0.2,200,10,3,4,44.8976930115177,26.8993939423865
9,1,0.2,200,10,3,5,47.3833903171653,33.2637687682693
9,1,0.2,200,10,3,6,47.3833903171653,35.0105958080907
10,1.5,0.1,100,10,3,1,27.8791078264674,23.744112223988
10,1.5,0.1,100,10,3,2,39.1209202473561,36.1795879480767
10,1.5,0.1,100,10,3,3,44.6669648343055,41.9747611
10,1.5,0.1,100,10,3,4,51.5661812944628,50.5054391346663
10,1.5,0.1,100,10,3,5,55.3137851564604,55.0340228242435
10,1.5,0.1,100,10,3,6,59.4165507597028,60.2657763651222
11,1.5,0.1,150,10,3,1,33.9514952448071,23.6341463414634
11,1.5,0.1,150,10,3,2,45.7127647821992,30.2821138211382
11,1.5,0.1,150,10,3,3,54.5380234502568,38.0495934959349
11,1.5,0.1,150,10,3,4,59.11391827,41.0626016260163
11,1.5,0.1,150,10,3,5,61.8338533962061,43.6333333333333
11,1.5,0.1,150,10,3,6,68.2747521403215,45.9967479674797
12,1.5,0.1,200,10,3,1,39.9897316562726,26.3044837806237
12,1.5,0.1,200,10,3,2,58.6418251695127,35.4484233805549
12,1.5,0.1,200,10,3,3,63.8090840944878,37.728145308209
12,1.5,0.1,200,10,3,4,72.6223130648322,44.4169997552818
12,1.5,0.1,200,10,3,5,76.1231262612247,44.4420516445967
12,1.5,0.1,200,10,3,6,76.1231262612247,52.3835005574136
13,1.5,0.15,100,10,3,1,31.3297905862342,21.3664675979586
13,1.5,0.15,100,10,3,2,33.7564222638028,27.5261699685412
13,1.5,0.15,100,10,3,3,41.265478275457,29.1912145155893
13,1.5,0.15,100,10,3,4,55.376434561524,34.532831415079
13,1.5,0.15,100,10,3,5,56.4717524980362,32.9544076826171
13,1.5,0.15,100,10,3,6,56.4717524980362,44.3113589283789
14,1.5,0.15,150,10,3,1,45.9556586390171,30.2462707647462
14,1.5,0.15,150,10,3,2,66.075330119545,34.7315083525098
14,1.5,0.15,150,10,3,3,75.5370850489301,33.1222516387445
14,1.5,0.15,150,10,3,4,88.7328682598851,41.7437313823708
14,1.5,0.15,150,10,3,5,88.7575866624375,45.3564803903822
14,1.5,0.15,150,10,3,6,88.7575866624375,45.3564803903822
15,1.5,0.15,200,10,3,1,22.7809141602574,14.315186377389
15,1.5,0.15,200,10,3,2,28.1166193739384,17.8787540500581
15,1.5,0.15,200,10,3,3,36.2180779724624,24.0921540947121
15,1.5,0.15,200,10,3,4,40.5738585477953,28.4273204657369
15,1.5,0.15,200,10,3,5,42.3847624464184,32.7827920656659
